bc/batch,batch_size,bc/prob_true_act,bc/samples_so_far,bc/entropy,bc/l2_loss,bc/epoch,bc/l2_norm,bc/loss,bc/neglogp,bc/ent_loss
1033,2048,1.1294758902987045,2117632,0.7715327739715576,0.0,94,1924.15771484375,-0.09719920161521894,-0.0964276687904903,-0.0007715328247286379
1044,2048,1.122757794281282,2140160,0.7496113777160645,0.0,95,1937.6990966796875,-0.09138569970893681,-0.09063608829676181,-0.0007496114121749997
1055,2048,1.1742769969922446,2162688,0.7281876802444458,0.0,96,1952.1982421875,-0.13827287787350528,-0.13754469014017545,-0.0007281877333298326
1066,2048,1.1988729690996656,2185216,0.7067619562149048,0.0,97,1965.5740966796875,-0.15540343682302685,-0.1546966748058103,-0.0007067620172165334
1077,2048,1.2210383959289703,2207744,0.6851238012313843,0.0,98,1978.4036865234375,-0.17178959625601292,-0.17110447241287202,-0.0006851238431409001
1088,2048,1.2638721338904118,2230272,0.6633051633834839,0.0,99,1990.76953125,-0.21496269926023887,-0.2142993940931301,-0.0006633051671087742
1099,2048,1.284283432953993,2252800,0.6414178609848022,0.0,100,2003.1455078125,-0.22198138415077256,-0.22133996628652813,-0.0006414178642444313
1110,2048,1.2799224662992685,2275328,0.6197723150253296,0.0,101,2015.927490234375,-0.2221045216909181,-0.22148474933491458,-0.0006197723560035229
1121,2048,1.325566511647009,2297856,0.5982338190078735,0.0,102,2029.3248291015625,-0.2554699434793612,-0.2548717096459178,-0.0005982338334433734
1132,2048,1.3412936039074685,2320384,0.576621413230896,0.0,103,2041.641357421875,-0.26927329419653834,-0.2686966727511768,-0.0005766214453615248
1143,2048,1.3962397438023517,2342912,0.5550546646118164,0.0,104,2053.45751953125,-0.3126372027215555,-0.31208214802946965,-0.0005550546920858324
1154,2048,1.4359576374708303,2365440,0.5333119630813599,0.0,105,2064.749267578125,-0.338344191674225,-0.3378108796971738,-0.0005333119770511985
1165,2048,1.4480897560499053,2387968,0.5115376710891724,0.0,106,2076.265625,-0.3453637385599458,-0.34485220084648144,-0.0005115377134643495
1176,2048,1.4895092789839532,2410496,0.48984766006469727,0.0,107,2087.94091796875,-0.3767833334458869,-0.37629348576952404,-0.0004898476763628423
1187,2048,1.5343578876023354,2433024,0.468059778213501,0.0,108,2098.948486328125,-0.40696270544557134,-0.406494645653388,-0.0004680597921833396
1198,2048,1.542143459809688,2455552,0.44612646102905273,0.0,109,2109.008544921875,-0.4127259077136978,-0.4122797812375348,-0.00044612647616304457
1209,2048,1.5640238461520797,2478080,0.42445671558380127,0.0,110,2119.33740234375,-0.42369581518357624,-0.4232713584591449,-0.00042445672443136573
1220,2048,1.5525171801914874,2500608,0.4034034013748169,0.0,111,2130.898681640625,-0.41193973818882257,-0.41153633476789,-0.00040340342093259096
1231,2048,1.6301702538993368,2523136,0.38238608837127686,0.0,112,2147.96826171875,-0.4655262874338686,-0.4651439013149965,-0.0003823861188720912
1242,2048,1.6820790345659815,2545664,0.3610328435897827,0.0,113,2163.220458984375,-0.4940783685163498,-0.49371733564505316,-0.0003610328712966293
1253,2048,1.740000095745162,2568192,0.339441180229187,0.0,114,2174.826171875,-0.5320368889889421,-0.5316974477838,-0.0003394412051420659
1264,2048,1.7852791729988295,2590720,0.31770920753479004,0.0,115,2184.3134765625,-0.5578296418081884,-0.5575119325787675,-0.00031770922942087054
1275,2048,1.8013224955383254,2613248,0.29581260681152344,0.0,116,2192.77880859375,-0.5615325189990764,-0.5612367063857456,-0.00029581261333078146
1286,2048,1.8208537192606595,2635776,0.27400875091552734,0.0,117,2202.024658203125,-0.5708071524839015,-0.5705331437327531,-0.000274008751148358
1297,2048,1.8762505306668031,2658304,0.2525414228439331,0.0,118,2211.73828125,-0.5997074254946004,-0.5994548840489391,-0.0002525414456613362
1308,2048,1.8777178020354,2680832,0.23085200786590576,0.0,119,2220.8994140625,-0.6022555702835989,-0.6020247182638586,-0.0002308520197402686
1319,2048,1.920543689010541,2703360,0.20920491218566895,0.0,120,2230.7119140625,-0.6220761572912245,-0.6218669523658839,-0.0002092049253406003
1330,2048,1.9807101358926487,2725888,0.1875826120376587,0.0,121,2239.709228515625,-0.6655354251397152,-0.6653478425123107,-0.00018758262740448117
1341,2048,2.0581519955084646,2748416,0.16583216190338135,0.0,122,2248.45166015625,-0.6990357291437053,-0.6988698969729543,-0.0001658321707509458
1352,2048,2.0825158841132607,2770944,0.1438819169998169,0.0,123,2255.69287109375,-0.7106951297927707,-0.7105512478619175,-0.0001438819308532402
1363,2048,2.1223592990738824,2793472,0.12199592590332031,0.0,124,2263.779052734375,-0.7287673105627563,-0.728645314632371,-0.0001219959303853102
1374,2048,2.1551655842462094,2816000,0.10037350654602051,0.0,125,2271.869873046875,-0.7474281523112671,-0.7473277788025092,-0.00010037350875791162
1385,2048,2.2446795878875747,2838528,0.07900118827819824,0.0,126,2280.65087890625,-0.7818683316055659,-0.7817893304146684,-7.900119089754298e-05
1396,2048,2.2124664548521906,2861056,0.05733931064605713,0.0,127,2288.84375,-0.7706554194985757,-0.7705980801868237,-5.7339311752002686e-05
1407,2048,2.3146146378703327,2883584,0.03577840328216553,0.0,128,2297.41943359375,-0.815666034021133,-0.8156302556164248,-3.577840470825322e-05
1418,2048,2.4126573306454553,2906112,0.0139695405960083,0.0,129,2305.487548828125,-0.8580534647327867,-0.8580394951915722,-1.3969541214464698e-05
1429,2048,2.4832870389131294,2928640,-0.008098244667053223,0.0,130,2312.614013671875,-0.8916543978650129,-0.8916624961104294,8.098245416476857e-06
1440,2048,2.4123453486543545,2951168,-0.030168771743774414,0.0,131,2319.371337890625,-0.8583236615869434,-0.8583538303592984,3.0168772354954854e-05
1451,2048,2.570064217361089,2973696,-0.05176675319671631,0.0,132,2327.318359375,-0.9172586806832036,-0.9173104474372443,5.176675404072739e-05
1462,2048,2.623670165445373,2996224,-0.07356405258178711,0.0,133,2333.8095703125,-0.9466432454659625,-0.9467168095229098,7.356405694736168e-05
1473,2048,2.6077933234013324,3018752,-0.09562361240386963,0.0,134,2340.27978515625,-0.931131511424247,-0.9312271350423552,9.56236181082204e-05
1484,2048,2.3179313627937734,3041280,-0.1165245771408081,0.0,135,2349.46875,-0.785251524422492,-0.7853680490073744,0.00011652458488242701
1495,2048,2.702332438572025,3063808,-0.1367037296295166,0.0,136,2359.63916015625,-0.9632365729664762,-0.9633732766994818,0.00013670373300556093
1506,2048,2.792110990482647,3086336,-0.15752339363098145,0.0,137,2367.520751953125,-0.9948693142250723,-0.9950268376305776,0.00015752340550534427
1517,2048,2.8972305539257857,3108864,-0.17897570133209229,0.0,138,2375.00830078125,-1.0420034942464254,-1.0421824699543931,0.00017897570796776563
1528,2048,2.9683319770985257,3131392,-0.20075953006744385,0.0,139,2381.581298828125,-1.070101689611867,-1.0703024491585817,0.00020075954671483487
1539,2048,3.039141415840947,3153920,-0.2226964235305786,0.0,140,2387.726806640625,-1.0895293956152161,-1.0897520920431705,0.00022269642795436084
1550,2048,2.9897389215168495,3176448,-0.24475419521331787,0.0,141,2393.52001953125,-1.0698968277909184,-1.070141582011976,0.0002447542210575193
1561,2048,2.984034660748376,3198976,-0.2665369510650635,0.0,142,2400.489501953125,-1.061306546701725,-1.0615730836555841,0.0002665369538590312
1572,2048,3.0530842887173284,3221504,-0.2877284288406372,0.0,143,2407.888671875,-1.079944629562542,-1.0802323580048867,0.00028772844234481454
1583,2048,3.2399189504429318,3244032,-0.3086615800857544,0.0,144,2415.323486328125,-1.1430649759264195,-1.143373637531651,0.0003086616052314639
1594,2048,3.381150141506131,3266560,-0.32992494106292725,0.0,145,2422.103759765625,-1.195552413580095,-1.1958823385311697,0.0003299249510746449
1605,2048,3.4533842111060538,3289088,-0.3514275550842285,0.0,146,2428.742431640625,-1.2111401954057894,-1.2114916229652974,0.00035142755950801075
1616,2048,3.350071566733534,3311616,-0.3730424642562866,0.0,147,2435.162841796875,-1.1732174567612779,-1.173590499240901,0.0003730424796231091
1627,2048,3.5276767092636487,3334144,-0.394395112991333,0.0,148,2441.72265625,-1.2349465845262737,-1.2353409796713957,0.00039439514512196183
1638,2048,3.682508131012878,3356672,-0.4159362316131592,0.0,149,2447.88427734375,-1.2776279047078898,-1.2780438409658128,0.0004159362579230219
1649,2048,3.7596777069519964,3379200,-0.43781912326812744,0.0,150,2453.419921875,-1.295912819955138,-1.296350639092143,0.0004378191370051354
1660,2048,3.6489413204194383,3401728,-0.459499716758728,0.0,151,2459.5166015625,-1.2646502688077303,-1.265109768552196,0.0004594997444655746
1671,2048,3.846394895663872,3424256,-0.4807349443435669,0.0,152,2466.44921875,-1.3155401928821213,-1.3160209278581299,0.00048073497600853443
1682,2048,3.7924252287588267,3446784,-0.5021419525146484,0.0,153,2472.862060546875,-1.3019072167885744,-1.3024093587378294,0.0005021419492550194
