bc/samples_so_far,bc/entropy,bc/epoch,bc/prob_true_act,bc/l2_norm,bc/loss,bc/batch,bc/neglogp,bc/l2_loss,batch_size,bc/ent_loss
2396160,0.5180046558380127,117,1.457677590045209,1693.724365234375,-0.35913269765204836,1169,-0.3586146929510412,0.0,2048,-0.0005180047010071576
2416640,0.4976952075958252,118,1.469554663378796,1699.179931640625,-0.36046062372009224,1179,-0.35996292848688505,0.0,2048,-0.000497695233207196
2437120,0.47742652893066406,119,1.5011997959029657,1704.659423828125,-0.3828497245507585,1189,-0.3823722980108848,0.0,2048,-0.0004774265398737043
2457600,0.4572479724884033,120,1.5441453237219247,1710.304931640625,-0.41214554909804635,1199,-0.4116883011169432,0.0,2048,-0.00045724798110313714
2478080,0.4370988607406616,121,1.5492891025857913,1715.8828125,-0.41981807685419925,1209,-0.41938097797879026,0.0,2048,-0.00043709887540899217
2498560,0.41699326038360596,122,1.580974599600745,1721.4476318359375,-0.4378333919356028,1219,-0.4374163986556614,0.0,2048,-0.00041699327994138
2519040,0.39693593978881836,123,1.62446213312408,1727.1822509765625,-0.4616532266864115,1229,-0.461256290718683,0.0,2048,-0.0003969359677284956
2539520,0.37689411640167236,124,1.637460662505368,1732.9490966796875,-0.467327902866562,1239,-0.4669510087278086,0.0,2048,-0.00037689413875341415
2560000,0.3569084405899048,125,1.6878762899606843,1738.859619140625,-0.5025552951939292,1249,-0.5021983867428619,0.0,2048,-0.00035690845106728375
2580480,0.33680546283721924,126,1.7228476224114788,1744.719482421875,-0.5260327238155644,1259,-0.52569591834062,0.0,2048,-0.0003368054749444127
2600960,0.3166661262512207,127,1.6729692072669091,1750.244873046875,-0.47807725260884526,1269,-0.47776058646070796,0.0,2048,-0.0003166661481373012
2621440,0.29684877395629883,128,1.7596213152905178,1756.1767578125,-0.5443762693030505,1279,-0.544079420506044,0.0,2048,-0.00029684879700653255
2641920,0.2770669460296631,129,1.806325019997363,1761.4764404296875,-0.564196171237965,1289,-0.563919104285416,0.0,2048,-0.0002770669525489211
2662400,0.2572135925292969,130,1.8572110631005967,1767.0006103515625,-0.5976059225192074,1299,-0.5973487089192275,0.0,2048,-0.00025721359997987747
2682880,0.23713183403015137,131,1.9002231365621538,1772.416259765625,-0.6195672625436146,1309,-0.6193301307030652,0.0,2048,-0.0002371318405494094
2703360,0.2171550989151001,132,1.9498463051146913,1778.0887451171875,-0.6449591666308205,1319,-0.6447420115285294,0.0,2048,-0.00021715510229114443
2723840,0.1972486972808838,133,1.998939194790466,1783.7579345703125,-0.6727388309210249,1329,-0.6725415822130338,0.0,2048,-0.0001972487079910934
2744320,0.17725682258605957,134,2.011950420161629,1789.139404296875,-0.6792045353512495,1339,-0.6790272785155085,0.0,2048,-0.00017725683574099094
2764800,0.15737104415893555,135,2.0374724686079215,1794.3941650390625,-0.6882393496883588,1349,-0.6880819786414059,0.0,2048,-0.00015737104695290327
2785280,0.1373962163925171,136,1.9897347122133233,1799.7315673828125,-0.6582677405496443,1359,-0.6581303443200969,0.0,2048,-0.00013739622954744846
2805760,0.11775839328765869,137,2.06676532534341,1805.290283203125,-0.6948223419337136,1369,-0.6947045835355947,0.0,2048,-0.00011775839811889455
2826240,0.09817337989807129,138,2.1730072730036927,1810.6722412109375,-0.7559420597615081,1379,-0.7558438863786414,0.0,2048,-9.8173382866662e-05
2846720,0.0782705545425415,139,2.2539047620203023,1815.6304931640625,-0.7886423913279501,1389,-0.7885641207668883,0.0,2048,-7.827056106179953e-05
2867200,0.05809593200683594,140,2.2698895092667017,1820.3834228515625,-0.7976683624471905,1399,-0.7976102665122442,0.0,2048,-5.8095934946322814e-05
2887680,0.03831064701080322,141,2.308021999372742,1825.569091796875,-0.8110421649807218,1409,-0.811003854331761,0.0,2048,-3.831064896075986e-05
2908160,0.018746256828308105,142,2.326298451168141,1830.7642822265625,-0.8223000113112873,1419,-0.8222812650538769,0.0,2048,-1.8746257410384715e-05
2928640,-0.000544428825378418,143,2.30388664015449,1835.9862060546875,-0.8077996541752284,1429,-0.8078001986041001,0.0,2048,5.444288717626478e-07
2949120,-0.019422411918640137,144,2.3915974344613176,1841.6217041015625,-0.8424609087222577,1439,-0.8424803311344091,0.0,2048,1.942241215147078e-05
2969600,-0.038533806800842285,145,2.5045856939817903,1847.4056396484375,-0.8963211463811793,1449,-0.8963596801910361,0.0,2048,3.853380985674448e-05
2990080,-0.05820190906524658,146,2.564216387791772,1852.120361328125,-0.9190001394328526,1459,-0.9190583413457596,0.0,2048,5.82019129069522e-05
3010560,-0.07821333408355713,147,2.5970618610291276,1856.1944580078125,-0.9361653878491154,1469,-0.9362436011847706,0.0,2048,7.821333565516397e-05
3031040,-0.09837818145751953,148,2.615927870832262,1860.08154296875,-0.939254258084592,1479,-0.9393526362711135,0.0,2048,9.837818652158603e-05
3051520,-0.11848056316375732,149,2.6773887604327964,1864.351318359375,-0.957255506821336,1489,-0.9573739873873519,0.0,2048,0.00011848056601593271
3072000,-0.13849341869354248,150,2.7212913011424273,1868.7890625,-0.9830861832150632,1499,-0.983224676644467,0.0,2048,0.0001384934294037521
3092480,-0.15840959548950195,151,2.7804307586326953,1873.0433349609375,-1.0015489806744942,1509,-1.001707390277085,0.0,2048,0.00015840960259083658
3112960,-0.1782846450805664,152,2.886756166573385,1876.890869140625,-1.0379445431479464,1519,-1.0381228278000119,0.0,2048,0.00017828465206548572
3133440,-0.19809460639953613,153,2.8524944041858804,1880.985107421875,-1.022145367625095,1529,-1.0223434622359182,0.0,2048,0.00019809461082331836
3153920,-0.21780169010162354,154,2.887822000375829,1885.1641845703125,-1.0373856021020413,1539,-1.0376034038041337,0.0,2048,0.00021780170209240168
3174400,-0.23748815059661865,155,3.045755648176372,1889.533203125,-1.092630240675843,1549,-1.0928677288345887,0.0,2048,0.00023748815874569118
3194880,-0.25752484798431396,156,2.968849014101848,1893.704833984375,-1.0658411603936517,1559,-1.0660986852590983,0.0,2048,0.00025752486544661224
3215360,-0.27747809886932373,157,3.219781505132528,1897.778076171875,-1.1492769230378994,1569,-1.1495544011402612,0.0,2048,0.0002774781023617834
3235840,-0.297243595123291,158,3.060095706277283,1901.9107666015625,-1.0901562658761765,1579,-1.090453509495747,0.0,2048,0.0002972436195705086
3256320,-0.31657838821411133,159,3.279533521362019,1906.557861328125,-1.16697618581629,1589,-1.1672927642163784,0.0,2048,0.00031657840008847415
3276800,-0.33622682094573975,160,3.332101422128065,1910.703125,-1.1807781801860693,1599,-1.1811144070186566,0.0,2048,0.00033622683258727193
3297280,-0.35606133937835693,161,3.4160561246352827,1914.8297119140625,-1.2103732564420209,1609,-1.2107293177969989,0.0,2048,0.00035606135497801006
3317760,-0.3760387897491455,162,3.481603256040858,1918.7750244140625,-1.2221186304357183,1619,-1.2224946692419985,0.0,2048,0.0003760388062801212
3338240,-0.3961164951324463,163,3.5896767721570333,1922.60693359375,-1.2555384575460522,1629,-1.2559345740663304,0.0,2048,0.0003961165202781558
3358720,-0.4164365530014038,164,3.6436311522264098,1926.1793212890625,-1.2713810554297673,1639,-1.2717974920116397,0.0,2048,0.0004164365818724036
3379200,-0.4361766576766968,165,3.645069419715859,1929.927978515625,-1.2711771584336806,1649,-1.2716133351251178,0.0,2048,0.0004361766914371401
3399680,-0.45193636417388916,166,1.247676573438138,1935.0771484375,0.6601512452766876,1659,0.6596993088901619,0.0,2048,0.00045193638652563095
3420160,-0.40265631675720215,167,0.6927261663528029,2059.466552734375,3.314159756421116,1669,3.3137571000955113,0.0,2048,0.0004026563256047666
3440640,-0.3429821729660034,168,1.1121579435567142,2207.27783203125,1.1735532253952243,1679,1.173210243214342,0.0,2048,0.0003429821808822453
3461120,-0.30785393714904785,169,1.6094853241885638,2276.8701171875,0.508127232753485,1689,0.5078193788086526,0.0,2048,0.0003078539448324591
3481600,-0.286968469619751,170,1.4905739649292764,2305.7587890625,0.6266465158214665,1699,0.6263595473383425,0.0,2048,0.0002869684831239283
3502080,-0.2723960876464844,171,1.5973578938743616,2318.53759765625,0.5368133285308292,1709,0.5365409324229264,0.0,2048,0.00027239610790275037
3522560,-0.26087284088134766,172,1.6595948978090354,2325.491943359375,0.3765811000662237,1719,0.37632022721253666,0.0,2048,0.00026087285368703306
3543040,-0.25103890895843506,173,1.6845323244170622,2329.791748046875,0.3007733489258926,1729,0.3005223099945824,0.0,2048,0.00025103893131017685
3563520,-0.24233496189117432,174,1.643664962455544,2333.5732421875,0.3173029087150628,1739,0.31706057373536006,0.0,2048,0.00024233497970271856
3584000,-0.23413240909576416,175,1.7387727077383537,2336.8115234375,0.10646261116595207,1749,0.10622847875161762,0.0,2048,0.00023413241433445364
3604480,-0.226629376411438,176,1.702626091125128,2340.03955078125,0.1655390857196226,1759,0.16531245633098754,0.0,2048,0.00022662938863504678
3624960,-0.21953117847442627,177,1.662642577127896,2343.452392578125,0.2994395616524126,1769,0.2992200304697472,0.0,2048,0.00021953118266537786
3645440,-0.21285784244537354,178,1.6483688374171062,2346.737060546875,0.29155772895998333,1779,0.2913448711110187,0.0,2048,0.00021285784896463156
3665920,-0.20645511150360107,179,1.6739686475331386,2350.14111328125,0.2515979499733104,1789,0.25139149485063095,0.0,2048,0.00020645512267947197
3686400,-0.20026397705078125,180,1.7308618279193122,2353.584228515625,0.1270939556064401,1799,0.12689369162519837,0.0,2048,0.00020026398124173284
3706880,-0.19456100463867188,181,1.6854814337101867,2358.437255859375,0.19007081919184332,1809,0.18987625817893916,0.0,2048,0.00019456101290415972
3727360,-0.18900692462921143,182,1.7030028231334964,2363.174072265625,0.18751725076132725,1819,0.18732824382156404,0.0,2048,0.00018900693976320326
3747840,-0.1837635040283203,183,1.6618805869211943,2367.692138671875,0.1692437624765683,1829,0.16905999897021168,0.0,2048,0.00018376350635662675
3768320,-0.17871630191802979,184,1.7235160334946027,2372.168212890625,0.10422267182443395,1839,0.10404395551890705,0.0,2048,0.00017871630552690476
3788800,-0.17398273944854736,185,1.7258471976707517,2376.6328125,0.08972759983806726,1849,0.08955361709594116,0.0,2048,0.00017398274212609977
3809280,-0.16942846775054932,186,1.7445197988485606,2381.33837890625,0.09001348644840522,1859,0.0898440579755324,0.0,2048,0.00016942847287282348
3829760,-0.16507279872894287,187,1.6539525531089363,2386.129638671875,0.11794969736863083,1869,0.11778462456047224,0.0,2048,0.00016507280815858394
3850240,-0.1608870029449463,188,1.7138622336482352,2390.87841796875,0.12404838935770016,1879,0.12388750234974935,0.0,2048,0.00016088700795080513
3870720,-0.15693223476409912,189,1.6875992306282388,2395.4970703125,0.1344144105910422,1889,0.1342574783425411,0.0,2048,0.0001569322485011071
3891200,-0.15313589572906494,190,1.727369953217831,2400.1103515625,0.01774534438135025,1899,0.017592208480149665,0.0,2048,0.00015313590120058507
3911680,-0.14957916736602783,191,1.6899388982618881,2404.454345703125,0.051478017620609814,1909,0.051328438440321686,0.0,2048,0.00014957918028812855
3932160,-0.14610815048217773,192,1.719207269952873,2410.4072265625,0.001402325419325938,1919,0.001256217263721486,0.0,2048,0.0001461081556044519
3952640,-0.14281010627746582,193,1.674135477321977,2416.28173828125,0.06538028590094377,1929,0.06523747579140668,0.0,2048,0.00014281010953709483
3973120,-0.13960886001586914,194,1.6954550710156573,2421.0380859375,0.030474576942879333,1939,0.030334968080069497,0.0,2048,0.00013960886280983686
